"SchemaName","TableName","ColumnName","InERP1","InERP2","ERP1Shape","ERP2Shape","Difference"
"dbo","AllQuotes","DescriptID","1","1","varchar(28,0,0) null=1 identity=0 ord=88 default=","varchar(25,0,0) null=1 identity=0 ord=88 default=","Shape differs"
"dbo","AppErrorLog","Level","1","1","nvarchar(32,0,0) null=1 identity=0 ord=4 default=","nvarchar(64,0,0) null=1 identity=0 ord=4 default=","Shape differs"
"dbo","CompanyPlant","CageCode","0","1","","nvarchar(20,0,0) null=1 identity=0 ord=19 default=","Column only ERP_2"
"dbo","CompanyPlant","CertReportLine","0","1","","nvarchar(400,0,0) null=1 identity=0 ord=20 default=","Column only ERP_2"
"dbo","CompanyProfile","Addr1","1","0","nvarchar(160,0,0) null=1 identity=0 ord=6 default=","","Column only ERP_1"
"dbo","CompanyProfile","Addr2","1","0","nvarchar(160,0,0) null=1 identity=0 ord=7 default=","","Column only ERP_1"
"dbo","CompanyProfile","As9100CertNo","1","1","nvarchar(80,0,0) null=1 identity=0 ord=26 default=","nvarchar(80,0,0) null=1 identity=0 ord=18 default=","Shape differs"
"dbo","CompanyProfile","As9100ExpDate","1","1","date(3,10,0) null=1 identity=0 ord=27 default=","date(3,10,0) null=1 identity=0 ord=20 default=","Shape differs"
"dbo","CompanyProfile","As9100Registrar","1","1","nvarchar(160,0,0) null=1 identity=0 ord=52 default=","nvarchar(160,0,0) null=1 identity=0 ord=19 default=","Shape differs"
"dbo","CompanyProfile","CageCode","1","1","nvarchar(20,0,0) null=1 identity=0 ord=17 default=","nvarchar(20,0,0) null=1 identity=0 ord=9 default=","Shape differs"
"dbo","CompanyProfile","CertCertifyText","1","1","nvarchar(-1,0,0) null=1 identity=0 ord=45 default=","nvarchar(-1,0,0) null=1 identity=0 ord=28 default=","Shape differs"
"dbo","CompanyProfile","CertDisclaimerText","1","1","nvarchar(-1,0,0) null=1 identity=0 ord=47 default=","nvarchar(-1,0,0) null=1 identity=0 ord=30 default=","Shape differs"
"dbo","CompanyProfile","CertFooterText","1","1","nvarchar(-1,0,0) null=1 identity=0 ord=46 default=","nvarchar(-1,0,0) null=1 identity=0 ord=29 default=","Shape differs"
"dbo","CompanyProfile","CertHeaderText","1","1","nvarchar(-1,0,0) null=1 identity=0 ord=44 default=","nvarchar(-1,0,0) null=1 identity=0 ord=27 default=","Shape differs"
"dbo","CompanyProfile","City","1","0","nvarchar(120,0,0) null=1 identity=0 ord=8 default=","","Column only ERP_1"
"dbo","CompanyProfile","Country","1","0","nvarchar(80,0,0) null=1 identity=0 ord=11 default=('USA')","","Column only ERP_1"
"dbo","CompanyProfile","DunsNumber","1","1","nvarchar(30,0,0) null=1 identity=0 ord=18 default=","nvarchar(30,0,0) null=1 identity=0 ord=10 default=","Shape differs"
"dbo","CompanyProfile","EinNumber","1","1","nvarchar(30,0,0) null=1 identity=0 ord=20 default=","nvarchar(30,0,0) null=1 identity=0 ord=12 default=","Shape differs"
