"SchemaName","TableName","ERP1Rows","ERP2Rows","ERP2MinusERP1","Difference"
"dbo","NR_DateLookup","0","17999","17999","Row count differs"
"dbo","AppErrorLog","6606","0","-6606","Row count differs"
"dbo","NR_DimGeography","0","655","655","Row count differs"
"dbo","NR_AreaCodes","0","300","300","Row count differs"
"dbo","NR_Country Data","0","246","246","Row count differs"
"dbo","NR_CountryCodes","0","245","245","Row count differs"
"dbo","StockLst_Vendor","132","0","-132","Row count differs"
"dbo","NR_HPA_Holidays","0","60","60","Row count differs"
"dbo","NR_States","0","51","51","Row count differs"
"dbo","NR_SalesDistrictStates","0","50","50","Row count differs"
"dbo","Errors","46","0","-46","Row count differs"
"dbo","NR_OT_Job","0","42","42","Row count differs"
"dbo","NR_UserTrack","38","0","-38","Row count differs"
"dbo","AppSetup","37","0","-37","Row count differs"
"dbo","NR_TC_Replacement_Employees","0","25","25","Row count differs"
"dbo","CompanyAuditLog","15","3","-12","Row count differs"
"dbo","NR_OT_OrderType","0","7","7","Row count differs"
"dbo","NR_PurchaseOrder_Company","0","7","7","Row count differs"
"dbo","NR_TimeClock_JobCode","0","5","5","Row count differs"
"dbo","CompanyProfileHistory","4","1","-3","Row count differs"
"dbo","AppUserGrant","2","0","-2","Row count differs"
"dbo","AppUsers","3","1","-2","Row count differs"
"dbo","AllQuotes","101","100","-1","Row count differs"
"dbo","QuickCompany","706","705","-1","Row count differs"
"dbo","CREDITREF","0","","0","Only ERP_1"
"dbo","CUSTOMER TERMS and List","","0","0","Only ERP_2"
"dbo","HPAcertPdf","0","","0","Only ERP_1"
"dbo","sysdiagrams","0","","0","Only ERP_1"
"dbo","WindfallSTK_2025","0","","0","Only ERP_1"
"dbo","AcctCost_Cert","0","0","0","Same row count"
"dbo","AcctCost_Mach","0","0","0","Same row count"
"dbo","AcctCost_POitem","0","0","0","Same row count"
"dbo","AcctCost_SOitem","0","0","0","Same row count"
"dbo","AcctCost_WO","0","0","0","Same row count"
"dbo","AcctCost_WOD","0","0","0","Same row count"
"dbo","AcctCosting","0","0","0","Same row count"
"dbo","ActionRequest","0","0","0","Same row count"
"dbo","AdminUser","1","1","0","Same row count"
"dbo","Alloy","441","441","0","Same row count"
"dbo","Alloy_AlloyCategory","27","27","0","Same row count"
"dbo","Alloy_GL","89","89","0","Same row count"
"dbo","Alloy_Spec","22","22","0","Same row count"
"dbo","AlloyCategory","3","3","0","Same row count"
"dbo","Alloys","1271","1271","0","Same row count"
"dbo","AlloySurcharge","1","1","0","Same row count"
"dbo","AllQuotes_test","0","0","0","Same row count"
"dbo","AppPermission","28","28","0","Same row count"
"dbo","AppSqlRole","36","36","0","Same row count"
"dbo","AppSqlRoleGrant","0","0","0","Same row count"
"dbo","Ar_AlloySurcharge_History","0","0","0","Same row count"
"dbo","Ar_AllQuotes_History","0","0","0","Same row count"
"dbo","Ar_AllQuotes_Old","0","0","0","Same row count"
"dbo","Ar_BrokerLst_Detail_History","0","0","0","Same row count"
"dbo","Ar_BrokerLst_Master_history","0","0","0","Same row count"
"dbo","Ar_BrokerLst_Process_Detail_History","0","0","0","Same row count"
"dbo","Ar_BrokerLst_Process_GS_History","0","0","0","Same row count"
"dbo","Ar_BrokerLst_Process_History","0","0","0","Same row count"
"dbo","Ar_Cert_History","0","0","0","Same row count"
"dbo","Ar_GFMlog_hist","0","0","0","Same row count"
"dbo","Ar_LakeErie_log_hist","0","0","0","Same row count"
"dbo","Ar_PackingSlip","0","0","0","Same row count"
"dbo","Ar_PackingSlip_No","0","0","0","Same row count"
"dbo","Ar_PriceTable_hist","0","0","0","Same row count"
"dbo","Ar_PurchaseOrder_hist","0","0","0","Same row count"
"dbo","Ar_Receiving_Hist","0","0","0","Same row count"
"dbo","Ar_Roll_log_hist","0","0","0","Same row count"
"dbo","Ar_Sales_History","0","0","0","Same row count"
"dbo","Ar_Sales_No_History","0","0","0","Same row count"
"dbo","Ar_SalesP_Customer_History","0","0","0","Same row count"
"dbo","Ar_ShipAddr_History","0","0","0","Same row count"
"dbo","Ar_Stocklst_Detail_History","0","0","0","Same row count"
"dbo","Ar_Stocklst_Master_History","0","0","0","Same row count"
"dbo","Ar_StockLst_Process_Detail_History","0","0","0","Same row count"
"dbo","Ar_StockLst_Process_GS_History","0","0","0","Same row count"
"dbo","Ar_StockLst_Process_History","0","0","0","Same row count"
"dbo","Ar_TimeTable_Hist","0","0","0","Same row count"
"dbo","Ar_UserTrack_History","0","0","0","Same row count"
"dbo","Ar_UserTrack_Old","0","0","0","Same row count"
"dbo","Ar_WIPlst_Detail_History","0","0","0","Same row count"
"dbo","Ar_WIPLst_Master_History","0","0","0","Same row count"
"dbo","Ar_WIPLst_Process_Detail_History","0","0","0","Same row count"
"dbo","Ar_WIPLst_Process_GS_History","0","0","0","Same row count"
"dbo","Ar_WIPLst_Process_History","0","0","0","Same row count"
"dbo","Board_Full","0","0","0","Same row count"
"dbo","BrokerLst_Detail","0","0","0","Same row count"
"dbo","BrokerLst_Detail_Inserted","0","0","0","Same row count"
"dbo","BrokerLst_Master","0","0","0","Same row count"
"dbo","BrokerLst_Master_Inserted","0","0","0","Same row count"
"dbo","BrokerLst_Process","0","0","0","Same row count"
"dbo","BrokerLst_Process_Detail","0","0","0","Same row count"
"dbo","BrokerLst_Process_Grab","0","0","0","Same row count"
"dbo","BrokerLst_Process_Orig","0","0","0","Same row count"
"dbo","BrokerLst_Process_Recvd","0","0","0","Same row count"
"dbo","Cert","0","0","0","Same row count"
"dbo","Cert_co","0","0","0","Same row count"
"dbo","Cert_Conf","0","0","0","Same row count"
"dbo","Cert_Conf_No","0","0","0","Same row count"
"dbo","Cert_RC_profile","0","0","0","Same row count"
"dbo","CompanyCertPdf","0","0","0","Same row count"
"dbo","CompanyCertSigner","0","0","0","Same row count"
"dbo","CompanyPlant","4","4","0","Same row count"
"dbo","CompanyProfile","1","1","0","Same row count"
"dbo","ConditionCode","25","25","0","Same row count"
"dbo","ConditionCodeAdjust","1","1","0","Same row count"
"dbo","ConditionLevel","41","41","0","Same row count"
"dbo","Conversion_log","0","0","0","Same row count"
"dbo","Countries","223","223","0","Same row count"
"dbo","CreditCd","0","0","0","Same row count"
"dbo","Customer_Discount","0","0","0","Same row count"
"dbo","CUSTOMER_LIST","0","0","0","Same row count"
"dbo","Customer_List_call","0","0","0","Same row count"
"dbo","Customer_List_Notes","0","0","0","Same row count"
"dbo","DDLEvents","0","0","0","Same row count"
"dbo","District","51","51","0","Same row count"
"dbo","District_SalesP","50","50","0","Same row count"
"dbo","District_St","51","51","0","Same row count"
"dbo","Draw_Dies","0","0","0","Same row count"
"dbo","Draw_log","0","0","0","Same row count"
"dbo","Draw_log_Detail","0","0","0","Same row count"
"dbo","Draw_log_old","0","0","0","Same row count"
"dbo","Draw_Sched","0","0","0","Same row count"
"dbo","EmailService_Credentials","0","0","0","Same row count"
"dbo","EmailService_Email","0","0","0","Same row count"
"dbo","EmailService_Email_Log","0","0","0","Same row count"
"dbo","EmailService_EmailMatchExceptions","0","0","0","Same row count"
"dbo","EmailService_SalesUsers","0","0","0","Same row count"
"dbo","EmailService_SalesUsers_Schedule","0","0","0","Same row count"
"dbo","EmailService_Type","0","0","0","Same row count"
"dbo","Employee","0","0","0","Same row count"
"dbo","EquipmentMachinePartAssociation","0","0","0","Same row count"
"dbo","EquipmentMachineType","0","0","0","Same row count"
"dbo","EquipmentPartHours","0","0","0","Same row count"
"dbo","EquipmentPartItems","0","0","0","Same row count"
"dbo","EquipmentParts","0","0","0","Same row count"
"dbo","EquipmentPartSwapDates","0","0","0","Same row count"
"dbo","ErrorLog","0","0","0","Same row count"
"dbo","ForecastStock","0","0","0","Same row count"
"dbo","Forms","33","33","0","Same row count"
"dbo","GFM_Die_Condition","0","0","0","Same row count"
"dbo","GFM_Die_Daily","0","0","0","Same row count"
"dbo","GFM_Die_Height","0","0","0","Same row count"
"dbo","GFM_Die_Inspection","0","0","0","Same row count"
"dbo","GFM_Die_Inventory","0","0","0","Same row count"
"dbo","GFM_Die_Landing","0","0","0","Same row count"
